file,task,model,seed,step,eval_return
atari.sh-15675036-0.out,,unknown,-1,400384,3.36
atari.sh-15675036-0.out,,unknown,-1,450560,2.88
atari.sh-15675036-0.out,,unknown,-1,500736,3.4
atari.sh-15675036-0.out,,unknown,-1,550912,3.2
atari.sh-15675036-0.out,,unknown,-1,600064,3.72
atari.sh-15675036-0.out,,unknown,-1,650240,2.88
atari.sh-15675036-0.out,,unknown,-1,700416,3.28
atari.sh-15675036-0.out,,unknown,-1,750592,3.6
atari.sh-15675036-0.out,,unknown,-1,800768,4.16
atari.sh-15675036-0.out,,unknown,-1,850944,3.68
atari.sh-15675036-0.out,,unknown,-1,900096,3.88
atari.sh-15675036-0.out,,unknown,-1,950272,3.84
atari.sh-15675036-0.out,,unknown,-1,1000448,4.16
atari.sh-15675036-0.out,,unknown,-1,1050624,3.64
atari.sh-15675036-0.out,,unknown,-1,1100800,4.4
atari.sh-15675036-0.out,,unknown,-1,1150976,3.4
atari.sh-15675036-0.out,,unknown,-1,1200128,4.44
atari.sh-15675036-0.out,,unknown,-1,1250304,3.8
atari.sh-15675036-0.out,,unknown,-1,1300480,4.16
atari.sh-15675036-0.out,,unknown,-1,1350656,4.52
atari.sh-15675036-0.out,,unknown,-1,1400832,3.84
atari.sh-15675036-0.out,,unknown,-1,1451008,4.04
atari.sh-15675036-0.out,,unknown,-1,1500160,4.04
atari.sh-15675036-0.out,,unknown,-1,1550336,3.52
atari.sh-15675036-0.out,,unknown,-1,1600512,4.12
atari.sh-15675036-0.out,,unknown,-1,1650688,4.08
atari.sh-15675036-0.out,,unknown,-1,1700864,4.44
atari.sh-15675036-0.out,,unknown,-1,1750016,3.96
atari.sh-15675036-0.out,,unknown,-1,1800192,4.68
atari.sh-15675036-0.out,,unknown,-1,1850368,4.0
atari.sh-15675036-0.out,,unknown,-1,1900544,3.96
atari.sh-15675036-0.out,,unknown,-1,1950720,3.72
atari.sh-15675036-0.out,,unknown,-1,2000896,4.32
atari.sh-15675036-0.out,,unknown,-1,2050048,4.4
atari.sh-15675036-0.out,,unknown,-1,2100224,3.84
atari.sh-15675036-0.out,,unknown,-1,2150400,4.8
atari.sh-15675036-0.out,,unknown,-1,2200576,3.84
atari.sh-15675036-0.out,,unknown,-1,2250752,4.44
atari.sh-15675036-0.out,,unknown,-1,2300928,3.76
atari.sh-15675036-0.out,,unknown,-1,2350080,4.56
atari.sh-15675036-0.out,,unknown,-1,2400256,4.48
atari.sh-15675036-0.out,,unknown,-1,2450432,4.48
atari.sh-15675036-0.out,,unknown,-1,2500608,4.2
atari.sh-15675036-0.out,,unknown,-1,2550784,4.2
atari.sh-15675036-0.out,,unknown,-1,2600960,4.2
atari.sh-15675036-0.out,,unknown,-1,2650112,4.68
atari.sh-15675036-0.out,,unknown,-1,2700288,4.64
atari.sh-15675036-0.out,,unknown,-1,2750464,4.28
atari.sh-15675036-0.out,,unknown,-1,2800640,4.52
atari.sh-15675036-0.out,,unknown,-1,2850816,4.8
atari.sh-15675036-0.out,,unknown,-1,2900992,4.0
atari.sh-15675036-0.out,,unknown,-1,2950144,4.52
atari.sh-15675036-0.out,,unknown,-1,3000320,4.64
atari.sh-15675036-0.out,,unknown,-1,3050496,4.4
