trial_uid,exp,env_id,seed,score,status,error,hostname,time_sec,params.policy_lr,params.q_lr,params.tau,params.gamma,params.batch_size,params.dihedral_N,params.reg_rep_N
043b124e-16b7-4299-8b1c-c4f6445471e1,pick,FetchPickAndPlaceDense-v4,2,-11.37448572016935,ok,,fc11015,4957.769227981567,0.0005538538325206716,0.0001846250609047287,0.0076605407544260385,0.9965130102455829,128,16,64
1e8bf813-bc8b-4c9c-8a2d-258e77ad8296,slide,FetchSlideDense-v4,1,-12.411513530103521,ok,,fc11010,7998.065091133118,0.0012417513843227,0.0015096894939320748,0.0021021432420742754,0.9479404937710569,128,16,128
5b0dfede-2d23-4a9f-b15b-504ec5818763,push,FetchPushDense-v4,1,-7.676001532896934,ok,,fc10915,5003.407907009125,0.0006346387373197265,0.0010852083874826383,0.00821741775773485,0.9609888789248114,128,16,64
aacf9c24-ab0c-4ed5-87b0-fedd4919288c,push,FetchPushDense-v4,1,-8.190781059817487,ok,,fc10714,5390.047823190689,0.0004080760474670821,0.001964699055201232,0.006552345657746947,0.9589975500995929,128,16,64
bf1f3b48-77dd-4112-b1e8-68b6318648c5,push,FetchPushDense-v4,1,-7.619560071318167,ok,,fc11007,5857.464804649353,0.00037141619755828257,0.0011988231504009208,0.0030062034631341094,0.9471787365423925,128,16,64
60552788-cab2-4610-be89-3e285edbf632,pick,FetchPickAndPlaceDense-v4,1,-9.571909098870835,ok,,fc11014,5017.497973918915,0.0006824826022981214,0.0006413876345147674,0.004421135500403242,0.9973635805235761,128,16,64
55101f56-e0c3-454a-ad1a-d7dd7fd38098,slide,FetchSlideDense-v4,2,-13.058087927770647,ok,,fc11012,7937.779764652252,0.001048444878003828,0.0013206258866918777,0.0006911078556138591,0.9624727656982646,128,16,128
016b7b72-b00a-4763-b6bb-32ae224d76c0,pick,FetchPickAndPlaceDense-v4,1,-10.991786382207547,ok,,fc10911,5079.752447605133,0.0004529505182306472,0.0004213646492493006,0.004725337707946629,0.9923688457320736,128,16,64
d4a4db0c-a3bd-445b-9d98-f31e68f58aae,pick,FetchPickAndPlaceDense-v4,1,-9.546206075243392,ok,,fc11003,5784.979150533676,0.0011869647679907144,0.00042321363253706664,0.015845413760488647,0.9769211260806688,256,16,64
74a6108d-0193-42f6-b261-a31b6df27485,pick,FetchPickAndPlaceDense-v4,1,-10.079479026806574,ok,,fc11018,4962.740702152252,0.0005547116704712229,0.000391853105179878,0.005991468213059106,0.9733470900234927,128,16,64
8070ff74-1ae1-4fd0-b9b0-b8f1dd7d7369,push,FetchPushDense-v4,1,-7.770493648429152,ok,,fc10919,5153.7153968811035,0.0003885624160999215,0.0010771691212896107,0.009951777452015212,0.960127549479736,128,16,64
f3c05839-bac3-4a69-8103-b0ae21dee28e,pick,FetchPickAndPlaceDense-v4,1,-11.825157037738371,ok,,fc11014,5185.325188875198,0.0009576233907645315,0.0006202614060246003,0.00318713147250083,0.9735371216338303,256,16,64
c77605c8-a8dd-41b1-a03c-1b7c1366a63d,slide,FetchSlideDense-v4,2,-18.34043141264323,ok,,fc11013,7965.491729736328,0.0006375893415242264,0.002020607204105338,0.002904702565797445,0.9691051484426609,128,16,128
2e8109ed-1d8c-4c76-8017-14253a9f7bca,slide,FetchSlideDense-v4,1,-14.594809755812475,ok,,fc11008,9786.997608423233,0.0008595584372946513,0.0007955920496982573,0.0020319133868954417,0.969730152905076,256,16,128
60d7197c-d464-4b31-9dba-2b809ca0caa2,pick,FetchPickAndPlaceDense-v4,1,-10.523521363134844,ok,,fc11017,5207.668026685715,0.0004706238314959575,0.0005105566304409673,0.006131024256937246,0.999,256,16,64
